id;exercicio;grupo;equipamento;imagem
cable_press_unilateral;Supino unilateral na polia;Peito;Polia e pegador;
heel_taps;Toque nos calcanhares;Abdômen e core;Peso corporal;
bench_dip;Tríceps banco;Braços;Banco e peso corporal;
triceps;Tríceps com corda na polia;Braços;Polia alta com corda;triceps.webp
triceps_overhead_db;Tríceps francês sentado com halter;Braços;Banco e halter;triceps_overhead_db.webp
triceps_overhead_single_db;Tríceps francês unilateral com halter;Braços;Halter;triceps_overhead_single_db.webp
triceps_bar;Tríceps na polia com barra;Braços;Polia alta e barra;triceps_bar.webp
pushdown_reverse_grip;Tríceps na polia com pegada supinada;Braços;Polia alta e barra;
skullcrusher_ez;Tríceps testa com barra W;Braços;Banco e barra W;
skullcrusher_db;Tríceps testa com halteres;Braços;Banco e halteres;
pushdown_single_arm;Tríceps unilateral na polia;Braços;Polia alta e pegador;
woodchop_low_high;Wood chop de baixo para cima;Abdômen e core;Polia baixa;
woodchop_high_low;Wood chop de cima para baixo;Abdômen e core;Polia alta;
